filename,delta_y,delta_x,degree
2562-2277.tif,1.06E+03,2.29E+02,1.72E+01
2278-1425.tif,7.78E+02,-6.23E+02,1.59E+01
2586-2053.tif,1.09E+03,5.00E+00,1.72E+01
2502-1681.tif,1.00E+03,-3.67E+02,1.69E+01
1494-0989.tif,-6.00E+00,-1.06E+03,1.68E+01
1730-1021.tif,2.30E+02,-1.03E+03,1.67E+01
2066-1173.tif,5.66E+02,-8.75E+02,1.66E+01
2398-1557.tif,8.98E+02,-4.91E+02,1.63E+01
2186-1293.tif,6.86E+02,-7.55E+02,1.62E+01
2486-1913.tif,9.86E+02,-1.35E+02,1.59E+01
2466-2149.tif,9.66E+02,1.01E+02,1.55E+01
1834-1141.tif,3.34E+02,-9.07E+02,1.54E+01
1370-1101.tif,-1.30E+02,-9.47E+02,1.53E+01
1602-1129.tif,1.02E+02,-9.19E+02,1.48E+01
2374-1781.tif,8.74E+02,-2.67E+02,1.46E+01
1946-1277.tif,4.46E+02,-7.71E+02,1.43E+01
1234-1221.tif,-2.66E+02,-8.27E+02,1.39E+01
2262-1653.tif,7.62E+02,-3.95E+02,1.38E+01
2334-2265.tif,8.34E+02,2.17E+02,1.38E+01
2046-1397.tif,5.46E+02,-6.51E+02,1.36E+01
2350-2033.tif,8.50E+02,-1.50E+01,1.36E+01
2166-1545.tif,6.66E+02,-5.03E+02,1.34E+01
1478-1229.tif,-2.20E+01,-8.19E+02,1.32E+01
1706-1257.tif,2.06E+02,-7.91E+02,1.31E+01
2246-1897.tif,7.46E+02,-1.51E+02,1.23E+01
1334-1341.tif,-1.66E+02,-7.07E+02,1.17E+01
1810-1393.tif,3.10E+02,-6.55E+02,1.17E+01
1582-1361.tif,8.20E+01,-6.87E+02,1.12E+01
2130-1781.tif,6.30E+02,-2.67E+02,1.10E+01
1926-1525.tif,4.26E+02,-5.23E+02,1.09E+01
2022-1645.tif,5.22E+02,-4.03E+02,1.07E+01
1218-1453.tif,-2.82E+02,-5.95E+02,1.06E+01
2106-2241.tif,6.06E+02,1.93E+02,1.03E+01
2122-2017.tif,6.22E+02,-3.10E+01,1.01E+01
1454-1469.tif,-4.60E+01,-5.79E+02,9.41E+00
2014-1869.tif,5.14E+02,-1.79E+02,8.83E+00
1782-1617.tif,2.82E+02,-4.31E+02,8.36E+00
1322-1581.tif,-1.78E+02,-4.67E+02,8.12E+00
1906-1757.tif,4.06E+02,-2.91E+02,8.11E+00
1990-2121.tif,4.90E+02,7.30E+01,8.05E+00
1570-1605.tif,7.00E+01,-4.43E+02,7.29E+00
1866-2237.tif,3.66E+02,1.89E+02,6.70E+00
1886-2001.tif,3.86E+02,-4.70E+01,6.33E+00
1674-1741.tif,1.74E+02,-3.07E+02,5.75E+00
1774-1865.tif,2.74E+02,-1.83E+02,5.37E+00
1286-1817.tif,-2.14E+02,-2.31E+02,5.13E+00
1758-2089.tif,2.58E+02,4.10E+01,4.26E+00
1534-1829.tif,3.40E+01,-2.19E+02,3.62E+00
1622-2193.tif,1.22E+02,1.45E+02,3.10E+00
1654-1973.tif,1.54E+02,-7.50E+01,2.80E+00
1410-1949.tif,-9.00E+01,-9.90E+01,2.19E+00
1506-2073.tif,6.00E+00,2.50E+01,4.20E-01
2214-2121.tif,7.14E+02,7.30E+01,1.16E+01
1694-1497.tif,1.94E+02,-5.51E+02,9.46E+00
